,valuation_date,organization,code,weight,status,update_time
0,2025-08-04,sz50,600028.SH,1.036,1,2025-11-01 20:45:57
1,2025-08-04,sz50,600030.SH,3.347,1,2025-11-01 20:45:57
2,2025-08-04,sz50,600031.SH,1.398,1,2025-11-01 20:45:57
3,2025-08-04,sz50,600036.SH,6.505,1,2025-11-01 20:45:57
4,2025-08-04,sz50,600048.SH,0.677,1,2025-11-01 20:45:57
5,2025-08-04,sz50,600050.SH,0.99,1,2025-11-01 20:45:57
6,2025-08-04,sz50,600150.SH,0.907,1,2025-11-01 20:45:57
7,2025-08-04,sz50,600276.SH,3.319,1,2025-11-01 20:45:57
8,2025-08-04,sz50,600309.SH,1.387,1,2025-11-01 20:45:57
9,2025-08-04,sz50,600406.SH,1.038,1,2025-11-01 20:45:57
10,2025-08-04,sz50,600519.SH,10.551,1,2025-11-01 20:45:57
11,2025-08-04,sz50,600690.SH,1.101,1,2025-11-01 20:45:57
12,2025-08-04,sz50,600760.SH,0.843,1,2025-11-01 20:45:57
13,2025-08-04,sz50,600809.SH,1.032,1,2025-11-01 20:45:57
14,2025-08-04,sz50,600887.SH,2.049,1,2025-11-01 20:45:57
15,2025-08-04,sz50,600900.SH,4.024,1,2025-11-01 20:45:57
16,2025-08-04,sz50,600941.SH,1.158,1,2025-11-01 20:45:57
17,2025-08-04,sz50,601012.SH,1.129,1,2025-11-01 20:45:57
18,2025-08-04,sz50,601088.SH,1.487,1,2025-11-01 20:45:57
19,2025-08-04,sz50,601127.SH,1.225,1,2025-11-01 20:45:57
20,2025-08-04,sz50,601166.SH,4.446,1,2025-11-01 20:45:57
21,2025-08-04,sz50,601211.SH,2.71,1,2025-11-01 20:45:57
22,2025-08-04,sz50,601225.SH,0.923,1,2025-11-01 20:45:57
23,2025-08-04,sz50,601288.SH,2.376,1,2025-11-01 20:45:57
24,2025-08-04,sz50,601318.SH,7.464,1,2025-11-01 20:45:57
25,2025-08-04,sz50,601328.SH,2.411,1,2025-11-01 20:45:57
26,2025-08-04,sz50,601398.SH,3.131,1,2025-11-01 20:45:57
27,2025-08-04,sz50,601600.SH,0.696,1,2025-11-01 20:45:57
28,2025-08-04,sz50,601601.SH,1.515,1,2025-11-01 20:45:57
29,2025-08-04,sz50,601628.SH,0.805,1,2025-11-01 20:45:57
30,2025-08-04,sz50,601658.SH,0.748,1,2025-11-01 20:45:57
31,2025-08-04,sz50,601668.SH,1.382,1,2025-11-01 20:45:57
32,2025-08-04,sz50,601728.SH,1.374,1,2025-11-01 20:45:57
33,2025-08-04,sz50,601766.SH,1.062,1,2025-11-01 20:45:57
34,2025-08-04,sz50,601816.SH,1.873,1,2025-11-01 20:45:57
35,2025-08-04,sz50,601857.SH,1.188,1,2025-11-01 20:45:57
36,2025-08-04,sz50,601888.SH,0.749,1,2025-11-01 20:45:57
37,2025-08-04,sz50,601899.SH,3.727,1,2025-11-01 20:45:57
38,2025-08-04,sz50,601919.SH,1.165,1,2025-11-01 20:45:57
39,2025-08-04,sz50,601985.SH,0.893,1,2025-11-01 20:45:57
40,2025-08-04,sz50,601988.SH,0.939,1,2025-11-01 20:45:57
41,2025-08-04,sz50,603259.SH,2.845,1,2025-11-01 20:45:57
42,2025-08-04,sz50,603501.SH,1.221,1,2025-11-01 20:45:57
43,2025-08-04,sz50,603993.SH,0.742,1,2025-11-01 20:45:57
44,2025-08-04,sz50,688008.SH,1.15,1,2025-11-01 20:45:57
45,2025-08-04,sz50,688012.SH,1.022,1,2025-11-01 20:45:57
46,2025-08-04,sz50,688041.SH,1.529,1,2025-11-01 20:45:57
47,2025-08-04,sz50,688111.SH,0.858,1,2025-11-01 20:45:57
48,2025-08-04,sz50,688256.SH,1.75,1,2025-11-01 20:45:57
49,2025-08-04,sz50,688981.SH,2.103,1,2025-11-01 20:45:57
